col_1,col_2,col_3,col_4
Dap-a34,D-3MeOPhe,2ClPhe,rac-4PyrimAla
Phg,BenzOxCA,"rac1,5MePrz",Ser(OBenz)
D-Tic,Tyr,5Pal(2OMe),diMePhe
D-Tza,racB-hPhe,rac3Pyr,D-4ClPhe
3SMePhe(StBu),rac-h2Pyr,3CNPhe,rac-5Tza
rac2Bzl3APA,D-Tyr_notBu,"rac1,3diMePyrazPrA",TrzlPiprzn
D-NMePhe,2RBn-NMeBAla,NMe-D-Trp,D-Tyr(OMe)
Ala(5Thz),His(3-Me),rac3-(4Pyr)PA,4-CA-6-OMeTHIQ
(3S)-(4MePhe)PA,Trp(7-Me),Phe,"(S)-3CN,5Ind-Ala"
"(R)-3CN,5Ind-Ala","rel-(3R,4S)(4FPh)Pro",4MeOPhePa,rac-Phg
1-Ind,3A3Pba,racPyrazinylAla,"rac-3-(2,4FPh)PA"
Tza,D-B-hPhe,Phg(4Cl),TrpBoc
D-2SMePhe(StBu),"rac-(3,5diOMe)Phe",indolGly,D-2Pyr
DHIIndolCA,rac3HOPhe,(5R)Ph(2S)Pyrr,D-Thiq
2SMePhe(StBu),"(R)-3CN,5Ind-Ala","(S)-3CN,5Ind-Ala","(S)-3CN,5Ind-Ala_tmp"
4FPhe,rac-NMe-Phg,D-3SPhe(StBu),(R)-2FPhg
3I-D-Tyr,3CF3Phe,D-BPhe,rac-2-(3FPh)PA
D-2SPhe(StBu),"D-(2,6-diMe)Tyr",7-azaTrp,Hyp(OPh)
rac-3MeOPhe,D-Trp(noBoc),D-Trp(no Boc),2MePhe
3Pyr,rac-Phe,"3,5FPhe",1MePRZ
D-Trp,"rac2Bzl(3,4-diOMe)3APA",D-Phe,D-NMe-(4Cl)Phe
2HOPhe,2Pyr,NMe4FPhe,a-Me-D-Phe
4-CA-THIQ,4OtBu-PheEtGly,rac(4Ph)-3PyrrCA,(R)-Phg(4Cl)
3MePhe,3R-(2MePhe)PA,"S-3-(2,4FPh)PA",2-Ind
(S)-2FPhg,2Ph-3SisoPro,(3S)-5PhPA,3ClPhe
